Recip_County,SVI_CTGY,Metro_status,Census2019
Edmonson,2,1,12150.0
Prentiss,1,0,25126.0
Vega Baja Municipio,3,1,50023.0
Rankin,3,1,155271.0
Jim Hogg,1,0,5200.0
Winneshiek,4,0,19991.0
Morris,2,0,12388.0
Ionia,3,0,64697.0
Venango,3,0,50668.0
Baltimore,3,1,827370.0
Bristol city,1,1,16762.0
Chesterfield,1,0,45650.0
Calaveras,4,0,45905.0
Hart,2,0,26205.0
Ashtabula,1,0,97241.0
Ouachita Parish,1,1,153279.0
Early,1,0,10190.0
Coleman,3,0,8175.0
Major,3,0,7629.0
Mendocino,1,0,86749.0
Hartford,2,1,891720.0
Swift,3,0,9266.0
Randall,4,1,137713.0
Tompkins,3,1,102180.0
La Salle Parish,1,0,14892.0
Baxter,3,0,41932.0
Del Norte,1,0,27812.0
Watauga,3,0,56177.0
Grand Forks,3,1,69451.0
Las Marias Municipio,2,0,7927.0
Glacier,1,0,13753.0
Winkler,2,0,8010.0
Gates,3,1,11562.0
New York,2,1,1628706.0
Lincoln Parish,1,0,46742.0
Rains,3,0,12514.0
Lake of the Woods,4,0,3740.0
Van Wert,4,0,28275.0
Suffolk,4,1,1476601.0
Tuscola,3,0,52245.0
Valencia,1,1,76688.0
Huerfano,2,0,6897.0
Ogemaw,2,0,20997.0
Archuleta,3,0,14029.0
Story,4,1,97117.0
Luna,1,0,23709.0
Letcher,1,0,21553.0
Nassau,4,1,88625.0
Shawnee,2,1,176875.0
Crittenden,1,1,47955.0
Bibb,1,1,153159.0
Whiteside,3,0,55175.0
Worth,4,0,2013.0
Waushara,3,0,24443.0
Avery,2,0,17557.0
Cassia,2,0,24030.0
Oglala Lakota,1,0,14177.0
Hemphill,2,0,3819.0
Esmeralda,2,0,873.0
Daggett,4,0,950.0
Las Piedras Municipio,4,1,37007.0
Atascosa,1,1,51153.0
Reno,2,0,61998.0
De Soto Parish,1,1,27463.0
Manitowoc,4,0,78981.0
Maricopa,2,1,4485414.0
Ector,1,1,166223.0
Nicollet,3,1,34274.0
Peach,1,1,27546.0
St. Martin Parish,1,1,53431.0
Toa Baja Municipio,4,1,74271.0
Bayamon Municipio,4,1,169269.0
Morrison,3,0,33386.0
Umatilla,1,0,77950.0
Volusia,2,1,553284.0
Edmunds,4,0,3829.0
Allendale,1,0,8688.0
Litchfield,4,0,180333.0
Georgetown,2,0,62680.0
Snohomish,3,1,822083.0
Bannock,2,1,87808.0
Anasco Municipio,4,1,26161.0
Dutchess,3,1,294218.0
Chisago,4,1,56579.0
Copiah,1,1,28065.0
St. Lawrence,2,0,107740.0
Moniteau,2,1,16132.0
Bell,1,0,26032.0
Churchill,2,0,24909.0
Solano,2,1,447643.0
Towns,3,0,12037.0
Washington Parish,1,0,46194.0
Gregg,1,1,123945.0
Beaver,4,1,163929.0
Elbert,4,1,26729.0
Caldwell Parish,1,0,9918.0
Red River Parish,1,0,8442.0
Payette,2,0,23951.0
Gilmer,1,0,7823.0
Guayanilla Municipio,1,1,17623.0
Goochland,4,1,23753.0
Glascock,2,0,2971.0
Okfuskee,1,0,11993.0
Lanier,1,1,10423.0
Hamlin,4,0,6164.0
McKinley,1,0,71367.0
Karnes,1,0,15601.0
Champaign,3,1,209689.0
Benzie,4,0,17766.0
Lea,1,0,71070.0
Socorro,1,0,16637.0
Winn Parish,1,0,13904.0
Coshocton,2,0,36600.0
Ellsworth,3,0,6102.0
Shannon,2,0,8166.0
Canadian,3,1,148306.0
Slope,4,0,750.0
Refugio,1,0,6948.0
Porter,4,1,170389.0
Juniata,3,0,24763.0
Loup,4,0,664.0
Ransom,4,0,5218.0
Hunt,1,1,98594.0
Potter,1,1,117415.0
Jennings,3,0,27735.0
Yukon-Koyukuk Census Area,1,0,5230.0
Bear Lake,4,0,6125.0
Bingham,2,0,46811.0
Dona Ana,1,1,218195.0
Castro,1,0,7530.0
Cheyenne,4,0,2657.0
Boundary,3,0,12245.0
Miner,4,0,2216.0
Ballard,3,0,7888.0
Hudson,2,1,672391.0
Schoharie,3,1,30999.0
Olmsted,3,1,158293.0
Pleasants,3,0,7460.0
Wirt,3,1,5821.0
Flagler,3,1,115081.0
Independence,1,0,37825.0
St. Croix,4,1,90687.0
Yamhill,2,1,107100.0
Seminole,1,0,24258.0
Charles City,4,1,6963.0
Denton,4,1,887207.0
Ray,3,1,23018.0
Matagorda,1,0,36643.0
Miami,4,1,106987.0
Banks,2,0,19234.0
Piscataquis,3,0,16785.0
Culberson,1,0,2171.0
Marlboro,1,0,26118.0
Allen Parish,1,0,25627.0
Le Flore,1,1,49853.0
Navarro,1,0,50113.0
Stillwater,4,0,9642.0
Miami-Dade,1,1,2716940.0
Contra Costa,3,1,1153526.0
Vermilion,1,1,75758.0
Pueblo,1,1,168424.0
Fresno,1,1,999101.0
Clarendon,1,0,33745.0
Gratiot,2,0,40711.0
Cheboygan,3,0,25276.0
Mayes,1,0,41100.0
Sequatchie,2,1,15026.0
Clearwater,1,0,8818.0
Caledonia,3,0,29993.0
Obion,1,0,30069.0
Wagoner,3,1,81289.0
Darke,4,0,51113.0
Sonoma,3,1,494336.0
Idaho,2,0,16667.0
San Benito,2,1,62808.0
Allamakee,3,0,13687.0
Webster Parish,1,1,38340.0
Bartholomew,3,1,83779.0
Norman,3,0,6375.0
Bolivar,1,0,30628.0
Yavapai,2,1,235099.0
Coconino,2,1,143476.0
Charles Mix,2,0,9292.0
Yauco Municipio,2,1,33575.0
Androscoggin,2,1,108277.0
Mountrail,3,0,10545.0
Bennett,1,0,3365.0
Kane,3,1,532403.0
Pottawattamie,3,1,93206.0
Catano Municipio,1,1,23121.0
Gallia,2,0,29898.0
McDonough,2,0,29682.0
Winchester city,2,1,28078.0
Bayfield,4,0,15036.0
Bucks,4,1,628270.0
Hot Spring,1,0,33771.0
Schuylkill,3,0,141359.0
Coahoma,1,0,22124.0
East Feliciana Parish,1,1,19135.0
Waynesboro city,2,1,22630.0
McLennan,1,1,256623.0
Cuyahoga,2,1,1235072.0
Muskogee,1,0,67997.0
Alcorn,2,0,36953.0
Camuy Municipio,4,1,30504.0
Bracken,3,1,8303.0
Mahnomen,1,0,5527.0
St. Tammany Parish,3,1,260419.0
Windsor,4,0,55062.0
McKenzie,3,0,15024.0
Vega Alta Municipio,2,1,36061.0
Harnett,1,0,135976.0
Wibaux,3,0,969.0
Mora,1,0,4521.0
Rich,4,0,2483.0
Cape May,3,1,92039.0
Dickson,3,1,53948.0
Mille Lacs,2,1,26277.0
George,2,0,24500.0
Chattahoochee,2,1,10907.0
Greer,1,0,5712.0
Barrow,3,1,83240.0
Cobb,3,1,760141.0
Dallam,2,0,7287.0
Clear Creek,4,1,9700.0
Gurabo Municipio,4,1,47093.0
Maunabo Municipio,2,1,10321.0
Crosby,1,1,5737.0
Burnet,2,0,48155.0
St. Mary's,4,1,113510.0
Scioto,1,0,75314.0
Hocking,3,1,28264.0
Newberry,1,0,38440.0
Surry,2,0,71783.0
Houghton,3,0,35684.0
Hubbard,4,0,21491.0
Barber,3,0,4427.0
Spotsylvania,4,1,136215.0
Echols,2,1,4006.0
Zavala,1,0,11840.0
Bernalillo,2,1,679121.0
Vieques Municipio,4,0,8386.0
Ramsey,2,1,550321.0
Augusta,4,1,75558.0
Las Animas,1,0,14506.0
Palm Beach,2,1,1496770.0
Culebra Municipio,4,0,1714.0
Collin,4,1,1034730.0
Neosho,2,0,16007.0
Claiborne Parish,1,0,15670.0
Ida,4,0,6860.0
Buena Vista,2,0,19620.0
Chariton,4,0,7426.0
Upton,2,0,3657.0
Weber,3,1,260213.0
Oconee,4,1,40280.0
Anchorage,3,1,288000.0
Boulder,4,1,326196.0
Winona,4,0,50484.0
Pecos,1,0,15823.0
Mackinac,2,0,10799.0
Woods,3,0,8793.0
Runnels,2,0,10264.0
Bandera,2,1,23112.0
Washoe,2,1,471519.0
Hardy,3,0,13776.0
Harford,4,1,255441.0
Wakulla,3,1,33739.0
Elk,3,0,2530.0
Leavenworth,4,1,81758.0
Bulloch,1,0,79608.0
Racine,3,1,196311.0
Bond,3,1,16426.0
Pendleton,3,0,6969.0
Ness,4,0,2750.0
Montezuma,3,0,26183.0
Presidio,1,0,6704.0
Van Zandt,2,0,56590.0
Republic,4,0,4636.0
Boyle,3,0,30060.0
Hendry,1,0,42022.0
Kemper,1,0,9742.0
Niagara,3,1,209281.0
Faulkner,3,1,126007.0
Pasco,2,1,553947.0
Kalamazoo,3,1,265066.0
Minnehaha,3,1,193134.0
Appanoose,3,0,12426.0
Sublette,4,0,9831.0
Sabana Grande Municipio,2,1,21712.0
Roanoke city,1,1,99143.0
Blount,3,1,57826.0
Wilbarger,1,0,12769.0
Denali Borough,4,0,2097.0
Oswego,2,1,117124.0
Gilpin,4,1,6243.0
Schleicher,2,0,2793.0
Kershaw,3,1,66551.0
Keya Paha,4,0,806.0
Baylor,4,0,3509.0
Jo Daviess,4,0,21235.0
Rooks,4,0,4920.0
Island,4,0,85141.0
Bullock,1,0,10101.0
East Carroll Parish,1,0,6861.0
Allegan,4,0,118081.0
Victoria,1,1,92084.0
Macomb,3,1,873972.0
Wilcox,1,0,8635.0
Aibonito Municipio,3,1,22108.0
Pontotoc,1,0,32174.0
Atchison,4,0,5143.0
Sheboygan,4,1,115340.0
Troup,1,0,69922.0
Faribault,4,0,13653.0
Cattaraugus,2,0,76117.0
Tulare,1,1,466195.0
Hudspeth,1,1,4886.0
Coryell,1,1,75951.0
Throckmorton,3,0,1501.0
Salt Lake,3,1,1160437.0
Yazoo,1,1,29690.0
Iosco,3,0,25127.0
Little River,2,1,12259.0
Shoshone,1,0,12882.0
Fort Bend,3,1,811688.0
Radford city,3,1,18249.0
Lynn,1,1,5951.0
New Castle,3,1,558753.0
Itasca,3,0,45130.0
Waller,1,1,55246.0
Lampasas,2,1,21428.0
Barton,2,0,11754.0
Ozark,2,0,9174.0
Pitt,1,1,180742.0
Gillespie,3,0,26988.0
Kerr,2,0,52600.0
San German Municipio,3,1,30227.0
Ogle,3,0,50643.0
Anson,1,0,24446.0
De Witt,4,1,15638.0
Nome Census Area,1,0,10004.0
Barceloneta Municipio,3,1,23727.0
Sampson,1,0,63531.0
Cabell,2,1,91945.0
Crook,4,0,7584.0
San Francisco,3,1,881549.0
Steele,3,0,36649.0
Adjuntas Municipio,1,0,17363.0
Montague,2,0,19818.0
Maricao Municipio,1,0,5430.0
Dale,1,0,49172.0
Arenac,2,0,14883.0
Silver Bow,2,0,34915.0
Juneau,3,0,26687.0
Conway,1,0,20846.0
Oceana,1,0,26467.0
Fergus,4,0,11050.0
Washakie,3,0,7805.0
Cecil,3,1,102855.0
Summers,1,0,12573.0
Cibola,1,0,26675.0
Overton,3,0,22241.0
Wyandot,4,0,21772.0
Norton,3,0,5361.0
Beckham,2,0,21859.0
Fairfax,4,1,1147532.0
Glynn,2,1,85292.0
Huntingdon,3,0,45144.0
Utah,3,1,636235.0
Keweenaw,4,0,2116.0
Kewaunee,4,1,20434.0
Bronx,1,1,1418207.0
McMullen,1,0,743.0
Saginaw,2,1,190539.0
King,3,1,2252782.0
Bienville Parish,1,0,13241.0
McCone,4,0,1664.0
Cowlitz,1,1,110593.0
Preston,2,1,33432.0
Plymouth,4,1,25177.0
Hodgeman,4,0,1794.0
Texas,1,0,19983.0
Luce,2,0,6229.0
Finney,1,0,36467.0
Rutland,3,0,58191.0
Millard,3,0,13188.0
Wicomico,1,1,103609.0
Brookings,4,0,35077.0
Bates,3,1,16172.0
Breathitt,1,0,12630.0
Hartley,2,0,5576.0
Malheur,1,0,30571.0
Fillmore,4,1,21067.0
Alachua,3,1,269043.0
El Paso,3,1,720403.0
McDuffie,1,1,21312.0
District of Columbia,2,1,705749.0
Nodaway,4,0,22092.0
Patillas Municipio,3,1,16211.0
Sanilac,3,0,41170.0
St. Charles Parish,3,1,53100.0
Conejos,1,0,8205.0
Isanti,4,1,40596.0
Grand,2,0,9754.0
Tarrant,2,1,2102515.0
Sargent,4,0,3898.0
Palo Pinto,1,0,29189.0
Boyd,2,1,46718.0
Greenup,3,1,35098.0
Oscoda,2,0,8241.0
Bent,1,0,5577.0
Chouteau,3,0,5635.0
Kalkaska,2,0,18038.0
Anoka,4,1,356921.0
Kenai Peninsula Borough,3,0,58708.0
Smyth,1,0,30104.0
San Patricio,1,1,66730.0
Portsmouth city,1,1,94398.0
Geneva,1,1,26271.0
Red Lake,4,0,4055.0
Moffat,2,0,13283.0
Aleutians East Borough,2,0,3337.0
Metcalfe,2,0,10071.0
Ketchikan Gateway Borough,2,0,13901.0
Falls Church city,4,1,14617.0
Wabaunsee,4,1,6931.0
Magoffin,1,0,12161.0
Desha,1,0,11361.0
Monmouth,4,1,618795.0
Wythe,3,0,28684.0
Fajardo Municipio,2,1,29454.0
Charles,4,1,163257.0
Cabo Rojo Municipio,2,1,47515.0
Mayaguez Municipio,1,1,71530.0
Horry,2,1,354081.0
Santa Clara,3,1,1927852.0
Greensville,1,0,11336.0
Currituck,4,1,27763.0
Los Alamos,4,0,19369.0
Lynchburg city,2,1,82168.0
Santa Barbara,2,1,446499.0
New Haven,2,1,854757.0
Barren,1,0,44249.0
Leflore,1,0,28183.0
Fairbanks North Star Borough,3,1,96849.0
Dillingham Census Area,1,0,4916.0
Routt,4,0,25638.0
Merced,1,1,277680.0
Burnett,4,0,15414.0
Gentry,3,0,6571.0
Etowah,2,1,102268.0
Berkshire,3,1,124944.0
LaSalle,3,0,108669.0
Butts,1,1,24936.0
Tensas Parish,1,0,4334.0
Montour,3,1,18230.0
Jack,2,0,8935.0
Stanley,4,0,3098.0
Howell,2,0,40117.0
Haywood,1,0,17304.0
Lac qui Parle,4,0,6623.0
Ravalli,4,0,43806.0
Perquimans,2,0,13463.0
St. Louis city,1,1,300576.0
Tunica,1,1,9632.0
Ben Hill,1,0,16700.0
Suwannee,1,0,44417.0
Isabella,2,0,69872.0
Towner,4,0,2189.0
Sawyer,3,0,16558.0
Taos,1,0,32723.0
Leake,1,0,22786.0
Gadsden,1,1,45660.0
Buckingham,1,1,17148.0
Gove,4,0,2636.0
Collingsworth,1,0,2920.0
Divide,4,0,2264.0
Guaynabo Municipio,4,1,83728.0
Iroquois,3,0,27114.0
Wilkin,4,0,6207.0
Guilford,2,1,537174.0
Evans,1,0,10654.0
Aleutians West Census Area,3,0,5634.0
Leelanau,4,0,21761.0
Apache,1,0,71887.0
Toombs,1,0,26830.0
Bonner,4,0,45739.0
Grenada,1,0,20758.0
Dunklin,1,0,29131.0
Pershing,1,0,6725.0
Geary,2,0,31670.0
Aguada Municipio,4,1,36694.0
Mohave,1,1,212181.0
St. Mary Parish,1,0,49348.0
Craighead,1,1,110332.0
Greenlee,2,0,9498.0
Edgefield,1,1,27260.0
Grand Traverse,4,0,93088.0
Fond du Lac,4,1,103403.0
Bergen,4,1,932202.0
Noxubee,1,0,10417.0
Ross,2,0,76666.0
Tooele,3,1,72259.0
Atkinson,1,0,8165.0
Coles,3,0,50621.0
Bremer,4,1,25062.0
Villalba Municipio,1,1,21372.0
Rawlins,4,0,2530.0
Dougherty,1,1,87956.0
Sutter,1,1,96971.0
Warrick,4,1,62998.0
Trimble,2,1,8471.0
Walsh,3,0,10641.0
Atoka,1,0,13758.0
Whitman,2,0,50104.0
Austin,3,1,30032.0
Broadwater,4,0,6237.0
Greenbrier,2,0,34662.0
Dolores,4,0,2055.0
Onondaga,2,1,460528.0
Codington,4,0,28009.0
Lehigh,2,1,369318.0
Marathon,4,1,135692.0
Columbiana,3,0,101883.0
Iberville Parish,1,1,32511.0
Braxton,2,0,13957.0
Mesa,2,1,154210.0
Hendricks,4,1,170311.0
Nobles,1,0,21629.0
Alfalfa,3,0,5702.0
Callaway,3,1,44743.0
Dixie,1,0,16826.0
Guanica Municipio,1,1,15383.0
Clare,1,0,30950.0
Hutchinson,4,0,7291.0
Sharp,2,0,17442.0
Yolo,2,1,220500.0
Tama,3,0,16854.0
Garrett,4,0,29014.0
Pointe Coupee Parish,1,1,21730.0
Hertford,1,0,23677.0
Freestone,1,0,19717.0
Danville city,1,0,40044.0
Yabucoa Municipio,2,1,32282.0
Nottoway,1,0,15232.0
Treasure,4,0,696.0
Becker,3,0,34423.0
Young,2,0,18010.0
Lunenburg,1,0,12196.0
James City,4,1,76523.0
Deuel,4,0,4351.0
Lenawee,3,0,98451.0
Sterling,3,0,1291.0
McNairy,2,0,25694.0
Cimarron,3,0,2137.0
Hettinger,4,0,2499.0
Jefferson Davis Parish,1,0,31368.0
Nowata,2,0,10076.0
Clatsop,2,0,40224.0
Pinellas,2,1,974996.0
Colfax,1,0,11941.0
Quebradillas Municipio,3,1,22918.0
Rhea,1,0,33167.0
Box Elder,4,1,56046.0
Buncombe,3,1,261191.0
Pepin,4,0,7287.0
Kenton,3,1,166998.0
Williamsburg,1,0,30368.0
Sagadahoc,4,1,35856.0
Sangamon,3,1,194672.0
Washburn,4,0,15720.0
Gonzales,1,0,20837.0
Dubuque,4,1,97311.0
Wallace,4,0,1518.0
Borden,4,0,654.0
Clallam,2,0,77331.0
Shasta,2,1,180080.0
Carson City,1,1,55916.0
Saratoga,4,1,229863.0
Philadelphia,1,1,1584064.0
San Augustine,1,0,8237.0
Rockwall,4,1,104915.0
Clackamas,4,1,418187.0
Jackson Parish,1,0,15744.0
Montrose,2,0,42758.0
Lexington,3,1,298750.0
Sandoval,3,1,146748.0
Yoakum,3,0,8713.0
Utuado Municipio,3,1,27395.0
Emery,3,0,10012.0
Tallapoosa,1,0,40367.0
Okaloosa,3,1,210738.0
Pratt,3,0,9164.0
Montcalm,2,1,63888.0
Newaygo,2,0,48980.0
Hayes,4,0,922.0
Dukes,4,0,17332.0
Nantucket,4,0,11399.0
Barnstable,4,1,212990.0
Salem city,3,1,25301.0
Franklin city,2,0,7967.0
Buena Vista city,3,0,6478.0
Norton city,1,0,3981.0
Covington city,3,0,5538.0
Emporia city,1,0,5346.0
Galax city,1,0,6347.0
Martinsville city,1,0,12554.0
Poquoson city,4,1,12271.0
Hinsdale,4,0,820.0
Costilla,1,0,3887.0
Sarpy,4,1,187196.0
Hooker,4,0,682.0
Waseca,3,0,18612.0
Otoe,4,0,16012.0
Nuckolls,4,0,4148.0
Merrick,4,1,7755.0
Saunders,4,1,21578.0
Banner,4,0,745.0
Thayer,4,0,5003.0
Richardson,4,0,7865.0
Gage,4,0,21513.0
Hitchcock,4,0,2762.0
Antelope,4,0,6298.0
Arthur,4,0,463.0
Morrill,3,0,4642.0
Garden,4,0,1837.0
Keith,4,0,8034.0
Kearney,4,0,6495.0
Kimball,2,0,3632.0
Scotts Bluff,2,0,35618.0
Burt,3,0,6459.0
Gosper,4,0,1990.0
Frontier,4,0,2627.0
Dixon,3,1,5636.0
Cuming,4,0,8846.0
Red Willow,4,0,10724.0
Nance,4,0,3519.0
Furnas,4,0,4676.0
Dawes,4,0,8589.0
Box Butte,3,0,10783.0
